Time,Temperature
0.0,274.15
0.25,274.15
0.5,274.15
0.75,274.15
1.0,274.15
1.25,274.15
1.5,274.15
1.75,274.15
2.0,274.15
2.25,274.15
2.5,274.15
2.75,274.15
3.0,274.15
3.25,274.15
3.5,274.15
3.75,274.15
4.0,274.15
4.25,274.15
4.5,274.15
4.75,274.15
5.0,274.15
5.25,274.15
5.5,274.15
5.75,274.15
6.0,274.15
6.25,274.15
6.5,274.15
6.75,274.15
7.0,274.15
7.25,274.15
7.5,274.15
7.75,274.15
8.0,274.15
8.25,274.15
8.5,274.15
8.75,274.15
9.0,275.15
9.25,275.15
9.5,275.15
9.75,275.15
10.0,275.15
10.25,275.15
10.5,275.15
10.75,275.15
11.0,276.15
11.25,276.15
11.5,276.15
11.75,276.15
12.0,276.15
12.25,276.15
12.5,276.15
12.75,276.15
13.0,277.15
13.25,277.15
13.5,277.15
13.75,277.15
14.0,277.15
14.25,277.15
14.5,277.15
14.75,277.15
15.0,278.15
15.25,278.15
15.5,278.15
15.75,278.15
16.0,278.15
16.25,278.15
16.5,278.15
16.75,278.15
17.0,277.15
17.25,277.15
17.5,277.15
17.75,277.15
18.0,277.15
18.25,277.15
18.5,277.15
18.75,277.15
19.0,276.15
19.25,276.15
19.5,276.15
19.75,276.15
20.0,276.15
20.25,276.15
20.5,276.15
20.75,276.15
21.0,275.15
21.25,275.15
21.5,275.15
21.75,275.15
22.0,275.15
22.25,275.15
22.5,275.15
22.75,275.15
23.0,274.15
23.25,274.15
23.5,274.15
23.75,274.15
